"sito associazione",telefono,tipo
http://agiresociale.it/,0532.205688,0
http://agiresociale.it/,0532.242528,0
http://agiresociale.it/,0532.320387,0
http://agiresociale.it/,0532.852011,0
http://agiresociale.it/,320.0587700,1
http://agiresociale.it/,347.5240113,1
http://allattandoafaenza.blogspot.it/,0546601988,0
http://allattandoafaenza.blogspot.it/,0546602055,0
http://amazzonia90sviluppo.org/,059310606,0
http://amazzonia90sviluppo.org/,0593161542,0
http://ambiente.regione.emilia-romagna.it,800.625.903,3
http://amicibicife.blogspot.it/,3493140168,1
http://ancescaocoordirav.racine.ra.it,3355872456,1
http://aprimondo.centropoggeschi.org/,3207514063,0
http://aprimondo.centropoggeschi.org/,3396574312,0
http://ass-equilibrio.it/,051.4390864,0
http://ass-equilibrio.it/,051.6154698,0
http://assisla.it/,347.32.95.380,0
http://assisla.it/,348.26.16.144,0
http://associazionealtadefinizione.it/,051237709,0
http://associazionealtadefinizione.it/,3703010584,1
http://avis-salabaganza.org,0521834640,0
http://aviscervia.altervista.org/,0544421180,0
http://aviscervia.altervista.org/,0545214398,0
http://aviscervia.altervista.org/,054534157,0
http://aviscervia.altervista.org/,0546601142,0
http://aviscervia.altervista.org/,3400883167,1
http://aviscervia.altervista.org/,800331144,3
http://cavecchia.org,0620523806,0
http://codacons.emiliaromagna.it/,051312611,0
http://codacons.emiliaromagna.it/,800050800,3
http://cooperativaquintoangolo.jimdo.com/,02891481208,0
http://COORDINSIEME.WORDPRESS.COM,0524525919,0
http://cultura.regione.emilia-romagna.it,800.625.903,0
http://equosolidale.it,01874590381,0
http://equosolidale.it,3452578758,1
http://equosolidale.it/,3452578758,1
http://ferrara4x4.it,0532.732370,0
http://ferrara4x4.it,339.2642359,1
http://fondazionecetacea.org,0541.691557,0
http://fondazionecetacea.org,0541691557,0
http://fondazionecetacea.org,334.5688320,1
http://fondazionecetacea.org,339.6848787,1
http://gattidelparco.wordpress.com,3385308084,1
http://gevforli.it,3201720310,1
http://ibc.regione.emilia-romagna.it,051232599,0
http://ibc.regione.emilia-romagna.it,800.625.903,0
http://iboitalia.org,0532.243279,0
http://il-cortile.agiresociale.it,377.4823580,1
http://il-cortile.agiresociale.it,3774823580,1
http://ilbaobab.com/,03555570377,0
http://ilbaobab.com/,051.401337,0
http://ilbaobab.com/,051401337,0
http://irregolarmente.agiresociale.it,331-5209271,1
http://irregolarmente.agiresociale.it,333-7044143,1
http://lechiavidicasa.org/,051600.43.87,0
http://letrea2011.blogspot.it/,3339894343,1
http://letrea2011.blogspot.it/,3388018159,1
http://muoversionlus.wordpress.com,(347.4519327,1
http://neidanitalia.wordpress.com/,051.239578,0
http://neidanitalia.wordpress.com/,347.8701436,1
http://noiperloro.it,0521.942013,0
http://nuke.anffas-er.org/,051.244595,0
http://nuke.anffas-er.org/,051.249572,0
http://nuke.fidas-advs-bologna.org,0516350330,0
http://parkmo.blogspot.it,059233580,0
http://parkmo.blogspot.it,3200772580,1
http://perdiqua.blogspot.it/,3663704586,1
http://perdiqua.blogspot.it/,3890674316,1
http://protezionecivile.regione.emilia-romagna.it,051558545,0
http://protezionecivile.regione.emilia-romagna.it,800.625.903,0
http://psm.bologna.it/,051.219.5252,0
http://ravennaparkinson.racine.ra.it/,0544285759,0
http://riunite.eu,03126691207,0
http://riunite.eu,051-6353605,0
http://rivista.ibc.regione.emilia-romagna.it,051232599,0
http://rivista.ibc.regione.emilia-romagna.it,800.625.903,0
http://salute.regione.emilia-romagna.it,800.625.903,3
http://sayes.volabo.it,051340328,0
http://scuola.regione.emilia-romagna.it,800.625.903,0
http://sindromediangelman.org/,0422.319571,0
http://sindromediangelman.org/,0422.411132,0
http://sociale.regione.emilia-romagna.it,800.625.903,3
http://stelladanzante.org,347-2242549,1
http://teatrodellargine.org/,02522171202,0
http://toninobello.racine.ra.it/,0310121642,0
http://toninobello.racine.ra.it/,0546665890,0
http://vag61.noblogs.org/,3275782056,1
http://vag61.noblogs.org/,3284182111,1
http://vag61.noblogs.org/,3337272514,1
http://vag61.noblogs.org/,3357277140,1
http://VARASSOCIAZIONE.IT,3385957104,1
http://web.tiscali.it/agostiniani/,051531171,0
http://wwf.it,800330055,3
http://www.3ionlus.org/,051246382,0
http://www.aaeweb.net,3463197367,1
http://WWW.ABCPIACENZA.ORG,0523384197,0
http://www.acabas.altervista.org/,051555346,0
http://www.acabas.altervista.org/,3341248301,1
http://www.acabas.altervista.org/,3356041668,1
http://www.acabas.altervista.org/,3385313376,1
http://www.acatbolognaalcool.it/,0514211378,0
http://www.acatbolognaalcool.it/,3491744897,1
http://www.acatsassuolo.org,0536811888,0
http://www.accademiascienze.ferrara.it,0532.205209,0
http://www.accademiascienze.ferrara.it,0532205209,0
http://www.accoglienza-ugozzolo.com,0521221133,0
http://www.accoglienza-ugozzolo.com,0521771734,0
http://www.accoglienza-ugozzolo.com,06230127050,0
http://www.accoglienza-ugozzolo.com,377.7801163,1
