"nome associazione",sito,comune,cap,provincia,regione,categoria
"Cambioscena - Home",http://www.cambioscena.com/,,,,,01
"Teatro Necessario",http://www.teatronecessario.it/,," 43052 ",,,01
"A.E.R.CO. - Associazione Emiliano-Romagnola Cori",http://www.aerco.it/,,,,,
"Circolo Amici della musica G. Frescobaldi - Ferrara",http://www.circolofrescobaldi.it/,,,,,01
"Home Page",http://www.corosantospirito.it/,," 44100 ",,,01
" Ferrara Musica: Le Ultime Novità ",http://www.ferraramusica.it/,," 44121 ",,,01
AppaloosaItaly,http://www.appaloosaitaly.com/,," 30026 ",,,01
"CSI Bologna - Centro Sportivo Italiano Comitato Provinciale di Bologna",http://www.csibologna.it/,," 40132 ",,,01-04
Home,http://www.divefun.it/,," 40060 ",,,01-04
Home,http://www.cvpuntamarina.com/,,"	48122 ",,,04
"ParmaSub - News",http://www.parmasub.it/news.php,,,,,04
":: De Musica Onlus ::",http://www.demusicaonlus.it,,,,,01
"Associazione Musicale Lucchese",http://www.associazionemusicalelucchese.it,,,,,01
"VALSESIA MUSICA",http://www.valsesiamusica.com,,,,,01
"www.associazione-melody.com - Home",http://www.associazione-melody.com,,,,,01
"Amici della Musica Sacra - Concerti Concorsi Festival Cori e Orchestre a Roma",http://www.amicimusicasacra.com,," 00193 ",,,01
"MUSICA RICERCATA - Associazione ONLUS per la promozione della cultura e dell'arte. Welcome.",http://www.musicaricercata.eu,,,,,01
"Associazione Amici della Musica Milano",http://www.amicidellamusicamilano.it,," 20142 ",,,01
www.culturaemusica.it,http://www.culturaemusica.it,,,,,01
AIMI,http://www.aimi-musica.org,,,,,01
,http://www.musicaventunesimo.it,,,,,01
" Home - La Musica InternaLa Musica Interna | Promozione, Ricerca, Didattica musicale ",http://www.lamusicainterna.it,," 40126 ",,,01
"Associazione Musica 900 | Stagione concerti Roma EUR",http://www.musicanovecento.com,," 00195 ",,,01
"Amici della Musica Palermo",http://www.amicidellamusicapalermo.it,,,,,01
" Amici della Musica Firenze ",http://www.amicimusica.fi.it,," 50123 ",,,01
"Associazione Sound | Scuole di musica Pontassieve, Firenze, Valdisieve, Mugello",http://www.sound-musiche.it,," 50065 ",,,01
"Associazione culturale Musica Aperta di Milano - Scuola di musica per adulti, corsi e lezioni di musica classica, jazz, lirica, musica popolare, coro",http://www.musicaperta.it,,,,,01
"Associazione culturale Musica 90",http://www.musica90.net,," 10152 ",,,01
"Estate Musicale Frentana",http://www.estatemusicalefrentana.it,," 66034 ",,,01
"Fondazione Giorgio Cini Onlus | Il sito della Fondazione Giorgio Cini. L&#039;offerta culturale, gli eventi, le biblioteche, le visite guidate.",http://www.cini.it,," 30123 ",,,01
"Associazione Musicale Angelo Mariani",http://www.angelomariani.org,," 37552 ",,,01
