"sito associazione",telefono
http://www.cambioscena.com/,03895960403
http://www.teatronecessario.it/,328.3926956
http://www.corosantospirito.it/,"340 9732184"
http://www.ferraramusica.it/,"0532 202675"
http://www.ferraramusica.it/,"0532 206007"
http://www.ferraramusica.it/,"0532 202400"
http://www.ferraramusica.it/,"0532 241097"
http://www.ferraramusica.it/,01109860385
http://www.appaloosaitaly.com/,340-3520346
http://www.appaloosaitaly.com/,045-6684028
http://www.appaloosaitaly.com/,0421-280252
http://www.csibologna.it/,"	051 					405318"
http://www.csibologna.it/,"	051 					406578"
http://www.divefun.it/,333.6215482
http://www.divefun.it/, 338.2789561
http://www.divefun.it/,1782.204577
http://www.divefun.it/,90047740379
http://www.cvpuntamarina.com/,"	0544 437153"
http://www.associazionemusicalelucchese.it,"0583 469960"
http://www.associazione-melody.com,"0968 725696"
http://www.associazione-melody.com,"0039 3352670"
http://www.amicimusicasacra.com,97124180585
http://www.amicimusicasacra.com,0668805816
http://www.lamusicainterna.it,"051 266959"
http://www.lamusicainterna.it,"051 266959"
http://www.lamusicainterna.it,"051 266959"
http://www.amicidellamusicapalermo.it,00169620820
http://www.amicimusica.fi.it,0550763333
http://www.amicimusica.fi.it,055210804
http://www.amicimusica.fi.it,00527740484
http://www.sound-musiche.it,"055 8331000"
http://www.sound-musiche.it,04542870482
http://www.musicaperta.it,"349 4395298"
http://www.musica90.net,"011 5229828"
http://www.musica90.net,"0039 366 6882"
http://www.estatemusicalefrentana.it,0872.709762
http://www.estatemusicalefrentana.it,0872.710241
http://www.cini.it,"041 2710229"
http://www.cini.it,"041 5223563"
http://www.cini.it,"041 2710280"
http://www.cini.it,"041 5238540"
http://www.cini.it,"041 2710402"
http://www.cini.it,"041 5238540"
http://www.cini.it,"041 2710202"
http://www.cini.it,"041 5238540"
http://www.cini.it,041.2710253
http://www.cini.it,"041 2710219"
http://www.cini.it,"041 5238540"
http://www.cini.it,"041 2710207"
http://www.cini.it,"041 2710284"
http://www.cini.it,"041 2710407"
http://www.cini.it,"041 2710230"
http://www.cini.it,"041 2710239"
http://www.cini.it,"041 5205842"
http://www.cini.it,"041 2710226"
http://www.cini.it,"041 2710227"
http://www.cini.it,"041 2710220"
http://www.cini.it,"041 2710220"
http://www.cini.it,"041 2710259"
http://www.cini.it,"041 2710357"
http://www.cini.it,"041 041 2710"
http://www.cini.it,"041 2710236"
http://www.cini.it,"041 2710215"
http://www.cini.it,"041 2710230"
http://www.cini.it,"041 2710239"
http://www.cini.it,"041 5205842"
http://www.cini.it,3474214460
http://www.cini.it,3355893775
http://www.cini.it,80009330277
