"sito associazione",telefono
1,http://www.cambioscena.com/,03895960403
2,http://aimbitalia.it,39392212173
3,http://aimbitalia.it,1010235891
4,http://aimbitalia.it,92041840635
5,http://www.centrottava.it,07173731006
6,http://www.federdanza.it,05761701001
7,http://www.ferraraitalia.it,01924560384
8,http://www.cinemazero.org,"0434.520 404"
9,http://www.cinemazero.org,"0434.520 527"
10,http://www.cinemazero.org,"0434 520404"
11,http://www.cinemazero.org,"0434 522603"
12,http://www.cinemazero.org,00233660935
13,http://cultura.regione.emilia-romagna.it,800.625.903
14,http://www.musicaficta.org,"1234 	 	 		5678910"
15,http://www.musicaficta.org,"	12131415161"
16,http://www.musicaficta.org,"718 	 	 		1920212"
17,http://www.musicaficta.org,"2232425 	 	 		2627"
18,http://www.ferraramusica.it/,"0532 202675"
19,http://www.ferraramusica.it/,"0532 206007"
20,http://www.ferraramusica.it/,"0532 202400"
21,http://www.ferraramusica.it/,"0532 241097"
22,http://www.ferraramusica.it/,01109860385
23,http://www.cini.it,"041 2710229"
24,http://www.cini.it,"041 5223563"
25,http://www.cini.it,"041 2710280"
26,http://www.cini.it,"041 5238540"
27,http://www.cini.it,"041 2710402"
28,http://www.cini.it,"041 2710202"
29,http://www.cini.it,041.2710253
30,http://www.cini.it,"041 2710219"
31,http://www.cini.it,"041 2710207"
32,http://www.cini.it,"041 2710284"
33,http://www.cini.it,"041 2710407"
34,http://www.cini.it,"041 2710230"
35,http://www.cini.it,"041 2710239"
36,http://www.cini.it,"041 5205842"
37,http://www.cini.it,"041 2710226"
38,http://www.cini.it,"041 2710227"
39,http://www.cini.it,"041 2710220"
40,http://www.cini.it,"041 2710259"
41,http://www.cini.it,"041 2710357"
42,http://www.cini.it,"041 041 2710"
43,http://www.cini.it,"041 2710236"
44,http://www.cini.it,"041 2710215"
45,http://www.cini.it,3474214460
46,http://www.cini.it,3355893775
47,http://www.cini.it,80009330277
48,http://www.musicaperta.it,"349 4395298"
49,http://www.film.it,06979891006
50,http://www.cittadarte.emilia-romagna.it,02052390347
51,http://www.comune.modena.it,00221940364
52,http://www.flautomagico.it,"328 2751113"
53,http://www.flautomagico.it,"338 2104518"
54,http://www.flautomagico.it,"338 3383025"
55,http://www.flautomagico.it,"333 3459471"
56,http://www.comune.russi.ra.it,00246880397
57,http://emilia-romagna.1254.it,"0536 889798"
58,http://emilia-romagna.1254.it,"0523 788734"
59,http://emilia-romagna.1254.it,"0544 270379"
60,http://emilia-romagna.1254.it,"0532 977284"
61,http://emilia-romagna.1254.it,"0543 767436"
62,http://emilia-romagna.1254.it,"0532 761206"
63,http://emilia-romagna.1254.it,"0521 966072"
64,http://emilia-romagna.1254.it,"0532 248460"
65,http://emilia-romagna.1254.it,11352961004
66,http://www.occhioallanotizia.it,0721.861433
