codice,"nome associazione",sito,comune,cap,provincia,regione,categoria
1,"Kinima | Sperimentazione e Formazione Culturale",http://www.kinima.it/,Padova,35129,PD,VEN,1
2,"Provincia di Firenze: Home",http://www.provincia.fi.it,Firenze,50129,FI,TOS,1-4
3,"Provincia Palermo",http://www.provincia.palermo.it,,,,,00
4,"Comune di Rimini",http://www.comune.rimini.it,Rimini,47921,RN,EMR,1-4
5,"Sito Ufficiale del Comune di Russi",http://www.comune.russi.ra.it,,,,,1-4
6,"Associazione Ricreativa Culturale Italiana &#8211; Arci Padova| Arci Nuova Associazione è un&#8217;",http://www.arcipadova.org,Padova,35123,PD,VEN,1
7,"Aimbitalia - Associazione Italiana Maestri di Ballo - Home",http://aimbitalia.it,Nola,80035,NA,CAM,1-4
8,"associazione disabili e anziani santa croce arda",http://www.ardasantacroce.it/,Padova,35123,PD,VEN,4
9,KitoOnlus,http://www.kitoonlus.org/,Padova,35122,PD,VEN,1
10,"Comune di Segrate",http://www.comune.segrate.mi.it,Assago,20090,MI,LOM,1-4
11,"Benvenuto in ARI Padova",http://www.aripadova.it/,,,,,1-4
12,"Associazione culturale Albertino Mussato",http://albertinomussato.org/,,,,,1
13,www.labiennale.org,http://www.labiennale.org,,,,,00
14,"Comuni-Italiani.it: Informazioni, CAP e dati utili",http://www.comuni-italiani.it,,,,,00
15,"Consiglio Araldico",http://www.consiglioaraldico.it,,,,,00
17,"Home Page",http://www.labiolca.it/,Padova,35142,PD,VEN,1
18,"Miglioriamo il mondo, insieme - COOPI",http://www.coopi.org,Milano,20151,MI,LOM,1
19,www.coralearmoniamundi.it,http://www.coralearmoniamundi.it,,,,,00
20,"Home - Provincia di Padova",http://www.provincia.pd.it,Padova,35121,PD,VEN,1-4
21,"Associazione Vox | [(Inside)+(Radio Catt)] x Milano = Vox",http://associazionevox.com,,,,,1-4
22,"Reindirizzamento Automatico",http://cevemb.billings.it/,,,,,00
23,www.lafattoriaincitta.org/,http://www.lafattoriaincitta.org/,Padova,35129,PD,VEN,00
24,"Sito ufficiale della Provincia di Ravenna	",http://www.provincia.ra.it,Ravenna,48121,RA,EMR,4
25,"Associazione Cori dell Toscana",http://www.coritoscana.it,,,,,00
26,"CIBO E NON SOLO | Progetti alimentari per lo sviluppo di comunità",http://ciboenonsolo.it/,Ferentillo,5034,TR,UMB,1-4
27,"cineforum antonianum",http://cineforumantonianum.blogspot.it/,,,,,1
28,"Centro Parrocchiale San Bellino",http://circolo.sanbellinopd.org/,,,,,00
29,"Home - La Musica InternaLa Musica Interna | Promozione, Ricerca, Didattica musicale",http://www.lamusicainterna.it,Bologna,40126,BO,EMR,1
30,"Lanterna Magica",http://www.lanternamagica.org,,,,,1
31,"Provincia di Reggio Emilia",http://www.provincia.re.it,"Reggio Emilia",42121,RE,EMR,4
32,untitled,http://www.psicodiscendenza.it/,,,,,00
33,comunicazioneinform.it,http://comunicazioneinform.it,Roma,176,RM,LAZ,1-4
34,"Home Page",http://www.corosantospirito.it/,Ferrara,44100,FE,EMR,1
35,"Headline | La Piazza e Lira",http://www.lapiazzaelira.it,,,,,1-4
36,"Circolo Culturale &quot;in Cucina con Galileo&quot;",http://cucinacongalileo.altervista.org,Padova,35122,PD,VEN,00
37,"La homepage del CORO TRE PINI di Padova",http://www.corotrepini.it,,,,,1
38,"PSF - Psicologi Senza Frontiere - Psychologists without Frontiers",http://www.psicologisenzafrontiere.org,Padova,35121,PD,VEN,00
39,"La Prima Web - Eventi Marche - Cultura Marche - Spettacolo Marche - Tempo Libero Marche",http://www.laprimaweb.it,,,,,1-4
40,"Corpo Libero Padova - Website Network",http://www.corpolibero.org/,,,,,4
41,"Homepage &mdash; E-R Cultura",http://cultura.regione.emilia-romagna.it,Bologna,40127,BO,EMR,1-4
42,www.psicorporea.it,http://www.psicorporea.it,,,,,00
43,"Societas Veneta per la storia religiosa",http://digilander.libero.it/societasveneta/,,,,,00
44,"Corsi in Italia di formazione gratuiti e per il tempo libero",http://www.corsincitta.it,,,,,1-4
45,"LA SFERA DANZA",http://www.lasferadanza.it/,Padova,35122,PD,VEN,1
46,"Homepage Associazione Psicologi per i popoli Veneto",http://www.psipopoli-veneto.org,,,,,1
47,www.quantitasqualitatis.it,http://www.quantitasqualitatis.it,,,,,00
48,"&nbsp;Presentazione&nbsp;&#124&nbsp; Associazione Tenda Padova",http://www.latenda.org,Padova,35129,PD,VEN,00
49,"Cospe - Cooperazione per Sviluppo Paesi Emergenti - Formazione, Donazioni Beneficenza Deducibili, 5x",http://www.cospe.org,Firenze,50134,FI,TOS,1
50,www.latintango.it,http://www.latintango.it,,,,,00
51,"Accademia dei Rampanti",http://www.rampanti.org/,,,,,1
52,"Rari Nantes Patavium 1905",http://www.rarinantespatavium.it,,,,,00
53,"Aziende e servizi in Emilia-romagna",http://emilia-romagna.1254.it,Ferrara,44121,FE,EMR,4
54,"Associazione La Torlonga",http://www.latorlonga.it/,,,,,1
55,"Cral Ulss 16 Padova",http://www.cralulss16.it/,,,,,1-4
56,"Le news della nostra sede di Padova - LAV",http://www.lav.it/sedi/padova,Roma,198,RM,LAZ,1
57,"Esedra Don Bosco Skating",http://esedradonboscoskating.blogspot.com,,,,,1
58,"Lega Consumatori Veneto | Per uno stile di vita Sobrio e Solidale",http://www.legaconsumatoriveneto.it,,,,,1
59,"“Ricerca per Credere nella Vita - RCV” onlus - Ricerca per Credere nella Vita - R.C.V.",http://www.rcv.veneto.it/,Baone,35030,PD,VEN,1
60,"Lega del cane Padova",http://www.legadelcane-padova.it/,Baone,35030,PD,VEN,00
61,"Gran Gal� Armonie della Sera - Armonie della Sera",http://www.armoniedellasera.it,"Ponzano di Fermo",63845,FM,MAR,1
62,"CriPadova.it Comitato Provinciale di Padova",http://www.cripadova.it/,Padova,35129,PD,VEN,1-4
63,[www.regazzo.org],http://www.regazzo.org/,Baone,35030,PD,VEN,4
64,"Associazione Musicale A.R.T. MUSICA - Presidente: Romualdo Savastano",http://www.art-musica.it,Roma,167,RM,LAZ,1
65,www.lescuoledirecitazione.it,http://www.lescuoledirecitazione.it,"Gioia dei Marsi",67055,AQ,ABR,1
66,"Homepage &mdash; E-R Il portale della Regione Emilia-Romagna",http://www.regione.emilia-romagna.it,Bologna,40127,BO,EMR,1-4
67,www.regione.lombardia.it,http://www.regione.lombardia.it,,,,,00
68,"Home Page Scuola | Scuola di Scienze Umane, Sociali e del Patrimonio culturale",http://www.lettere.unipd.it/cmp,,,,,1
69,"Nuova pagina 2",http://www.artcontroluce.it,,,,,00
70,"CSI Bologna - Centro Sportivo Italiano Comitato Provinciale di Bologna",http://www.csibologna.it/,Bologna,40132,BO,EMR,1-4
71,"Retecivica del Comune di Trieste",http://www.retecivica.trieste.it,,,,,1-4
72,"Libert� e Giustizia",http://www.libertaegiustizia.it,,,,,1
73,"Rete del Non Profit della Provincia di Firenze - Home page",http://www.retenoprofit.it,,,,,00
74,Home,http://www.artmusicevent.eu/,Padova,35142,PD,VEN,1
75,"Ascoli Piceno Festival musica tradizioni sapori delle Marche",http://www.ascolipicenofestival.com,,,,,1
76,Home,http://www.libertaspadova.it,Padova,35127,PD,VEN,1-4
77,"Sito ufficiale CTG Centro Turistico Giovanile - VENETO",http://www.ctgveneto.it/,,,,,4
78,"Piemonte Eventi &gt; Sagre e Manifestazioni nelle Langhe e nel Roero",http://eventi.langhe.net,Alba,12051,CN,PIE,1-4
79,"A.S. Comini 1885 Padova Scherma",http://www.ascomini1885.org/,,,,,1-4
80,"Hotel Rimini: Hotel Riviera Romagnola All Inclusive",http://www.riminibeach.it,,,,,1-4
81,città&amp;partecipazione,http://www.cittaepartecipazione.it,,,,,1
82,"home &#8212; Comunit&#224; per le Libere Attivit&#224; Culturali",http://www.clacpd.org,,,,,1-4
83,"Club Ignoranti",http://www.clubignoranti.it,,,,,1
84,"Associazione Marry Poppins	",http://www.cmarypoppins.com/,Padova,35138,PD,VEN,00
85,"Coco Loco Padova",http://www.cocolocopadova.it,Padova,12111,PD,VEN,4
86,"Collegio degli Ingegneri della Provincia di Padova",http://www.collegioingegneripadova.it,,,,,00
87,"Cometa A.S.M.M.E. - Associazione Studio Malattie Metaboliche Ereditarie OnlusCometa A.S.M.M.E. | Ass",http://www.cometaasmme.org,Albignasego,35020,PD,VEN,1-4
88,"homepage &mdash; Rete Civica Monet",http://www.comune.modena.it,Modena,41121,MO,EMR,1-4
89,"Medici con l&#039;Africa Cuamm",http://www.cuamm.org/,Padova,35121,PD,VEN,1
90,"Home Page - CUC CinemaUno",http://www.cuc-cinemauno.it/,,,,,1
91,"Associazione Sportiva Cucciolo Sport",http://www.cucciolosport.it,,,,,4
92,www.culturaemusica.it,http://www.culturaemusica.it,,,,,1
93,Home,http://www.cvpuntamarina.com/,Ravenna,48122,RA,EMR,4
94,"DACCAPO | Associazione Trauma Cranico Onlus",http://www.daccapo.org,Padova,35142,PD,VEN,00
95,"Danza.it il portale italiano della danza classica e moderna",http://www.danza.it,Torino,10156,TO,PIE,1
96,"Scuola Danza Padova - Associazione Diffusione Danza Gestuale",http://www.danzagestuale.it,,,,,1-4
97,"Danzarteatro &egrave; una scuola di danza | Danzar Teatro",http://www.danzarteatro.com,,,,,1
98,Danzaurbana,http://www.danzaurbana.it,Bologna,40126,BO,EMR,1
99,"Notizie Dal Kenya 2013 - Dedicato a chi non piange: volontariato per il sostegno a distanza",http://www.dedicatonlus.info,Padova,35136,PD,VEN,1
100,"De Leo Fund Onlus",http://www.deleofundonlus.org/,Padova,35137,PD,VEN,1
101,":: De Musica Onlus ::",http://www.demusicaonlus.it,,,,,1
102,"Di Architettura | Associazione Culturale Padova",http://www.diarchitettura.org/,,,,,00
103,Home,http://www.divefun.it/,Dozza,40060,BO,EMR,1-4
104,"Associazione Dottor Clown Padova | Un giorno senza un sorriso è un giorno perso!",http://www.dottorclownpadova.org,,,,,1
105,"Durgananda asd - Viaggio alla ricerca di se - Corsi di yoga a Padova : Durgananda asd &#8211; Viaggi",http://www.durgananda.it/,Padova,35142,PD,VEN,1-4
106,"WikiJus - Il wiki di Diritto Civile",http://www.e-glossa.it,Milano,20144,MI,LOM,1
107,"EcoVeneto, Veneto, Eco del Veneto, Veneto On Line, Regione Veneto, Veneto Notizie, Veneto News, Ulti",http://www.ecoveneto.it,,,,,00
108,"Benvenuto in Emergency Padova",http://www.emergencypadova.altervista.org/,,,,,1
109,"Emilia Romagna Teatro Fondazione - Modena",http://www.emiliaromagnateatro.com,Modena,41124,MO,EMR,1
110,"Emilia Romagna Teatro Fondazione - Modena",http://www.emiliaromagnateatro.com/,Modena,41124,MO,EMR,1
111,index.jpg,http://www.emozionincanto.it/,,,,,00
112,Home,http://www.enars.it/,,,,,1
113,"Energym Club - Energia. Fatica. Passione.",http://www.energym-club.it/,Padova,35137,PD,VEN,1-4
114,"Ente Nazionale Protezione Animali",http://www.enpa.it,,,,,00
115,"Associazione Culturale e Sportiva, CircoliPrivati, Club",http://www.entes.it,,,,,1-4
116,ERTGIOVANI.COM,http://www.ertgiovani.com,,,,,1
117,ESN-Padova,http://www.esnpadova.it,,,,,00
118,"Estate Musicale Frentana",http://www.estatemusicalefrentana.it,Lanciano,66034,CH,ABR,1
119,Lies,http://www.estnord.it/lies/,,,,,1
120,"Associazione Euganea del Bonsai",http://www.euganeabonsai.org,Padova,35136,PD,VEN,00
121,"EVENTI PADOVA E OLTRE - HOME PAGE",http://www.eventipadovaeoltre.org/,,,,,00
122,"www.fantaghirò.org - Home",http://www.fantaghiro.org,Padova,35132,PD,VEN,1
123,"Benvenuti nel sito ufficiale di Federdanza - AGIS",http://www.federdanza-agis.org,,,,,1-4
124,"FIDS - Federazione Italiana Danza Sportiva",http://www.federdanza.it,,,,,1-4
125,Home,http://www.felixefido.it,,,,,1-4
126,"Ferraraitalia.it - Quotidiano di Ferrara - l&#039;informazione verticale",http://www.ferraraitalia.it,,,,,1-4
127,"Ferrara Musica: Le Ultime Novit�",http://www.ferraramusica.it/,Ferrara,44121,FE,EMR,1
128,"Festa dei Popoli",http://www.festadeipopoli.it,,,,,1
129,FESTA_EUROPEA_DELLA_MUSICA,http://www.festaeuropeadellamusica.it/,,,,,1
130,"Associazione Ed allora sar� sempre festa per te - Home Page",http://www.festaperte.org/,,,,,1-4
131,"Festival Internazionale Del Cinema Povero",http://www.festivaldelcinemapovero.com,,,,,1
132,"Benvenuto in FIDAS Padova",http://www.fidaspadova.it,,,,,1-4
133,"Tutti i film al Cinema in Tv, Dvd. Trova lista nuovi film trailer, recensioni - Film.it",http://www.film.it,,,,,1
134,"Flauto Magico - Index",http://www.flautomagico.it,Formigine,41043,MO,EMR,1-4
135,"Fondazione Baccicchetti per la Sindrome di Down | Fondazione Baccichetti",http://www.fondazionebaccichetti.it,,,,,1
136,"Fondazione Comunica - Coltiviamo il Futuro",http://www.fondazionecomunica.org/,Padova,35129,PD,VEN,1
137,"Fondazione Minnaja - Fondazione per lo studio e la ricerca sulle malattie epatiche e sul trapianto d",http://www.fondazioneminnaja.com/,Milano,20121,MI,LOM,4
138,"Gruppo Fotografico Antenore | Il sito e il blog della fotografia a Padova",http://www.fotoantenore.org,,,,,1
139,"Freedom for Children",http://www.freedomforchildren.org/,,,,,1
140,"Free Software Users Group Padova &#187; Associazione di Promozione Sociale",http://www.fsugpadova.org,,,,,00
141,"giovani e cuore aritmico onlus",http://www.gecaonlus.org,Padova,35126,PD,VEN,1
142,"HOME - GenerAZIONI Solidali Padova",http://www.generazionisolidali.org/,,,,,1-4
143,"Home - Genitorialità",http://www.genitorialita.it,Padova,35135,PD,VEN,1-4
144,"Ghosts Hockey Padova",http://www.ghostshockey.it/,,,,,1
145,"Giorgio Perlasca &#124; Giusto tra le Nazioni",http://www.giorgioperlasca.it,Padova,35143,PD,VEN,1
146,"Associazione Alpinistica GIOVANE MONTAGNA - Sito nazionale - Alpinismo, escursionismo, sci alpinismo",http://www.giovanemontagna.org,,,,,1
