codice,"sito associazione",telefono
http://aprimondo.centropoggeschi.org/,3207514063,0
http://aprimondo.centropoggeschi.org/,3396574312,0
http://ass-equilibrio.it/,051.4390864,0
http://ass-equilibrio.it/,051.6154698,0
http://assisla.it/,347.32.95.380,0
http://assisla.it/,348.26.16.144,0
http://associazionealtadefinizione.it/,051237709,0
http://associazionealtadefinizione.it/,3703010584,1
http://codacons.emiliaromagna.it/,051312611,0
http://codacons.emiliaromagna.it/,800050800,3
http://cooperativaquintoangolo.jimdo.com/,02891481208,0
http://coralereno.altervista.org/,0516130350,0
http://cultura.regione.emilia-romagna.it,800.625.903,0
http://emilia-romagna.1254.it,0521966072,0
http://emilia-romagna.1254.it,0523788734,0
http://emilia-romagna.1254.it,0532248460,0
http://emilia-romagna.1254.it,0532761206,0
http://emilia-romagna.1254.it,0532977284,0
http://emilia-romagna.1254.it,0536889798,0
http://emilia-romagna.1254.it,0543767436,0
http://emilia-romagna.1254.it,0544270379,0
http://equosolidale.it,01874590381,0
http://equosolidale.it,3452578758,1
http://ibc.regione.emilia-romagna.it,051232599,0
http://ibc.regione.emilia-romagna.it,800.625.903,0
http://ilbaobab.com/,03555570377,0
http://ilbaobab.com/,051.401337,0
http://ilbaobab.com/,051401337,0
http://ilventagliodiorav.eu/,05158.11.60,0
http://lechiavidicasa.org/,051600.43.87,0
http://neidanitalia.wordpress.com/,051.239578,0
http://neidanitalia.wordpress.com/,347.8701436,1
http://nuke.fidas-advs-bologna.org,0516350330,0
http://protezionecivile.regione.emilia-romagna.it,051558545,0
http://protezionecivile.regione.emilia-romagna.it,800.625.903,0
http://psm.bologna.it/,051.219.5252,0
http://riunite.eu,03126691207,0
http://riunite.eu,051-6353605,0
http://rivista.ibc.regione.emilia-romagna.it,051232599,0
http://rivista.ibc.regione.emilia-romagna.it,800.625.903,0
http://sayes.volabo.it,051340328,0
http://scuola.regione.emilia-romagna.it,800.625.903,0
http://sindromediangelman.org/,0422.319571,0
http://sindromediangelman.org/,0422.411132,0
http://sociale.regione.emilia-romagna.it,800.625.903,0
http://teatrodellargine.org/,02522171202,0
http://vag61.noblogs.org/,3275782056,1
http://vag61.noblogs.org/,3284182111,1
http://vag61.noblogs.org/,3337272514,1
http://vag61.noblogs.org/,3357277140,1
http://web.tiscali.it/agostiniani/,051531171,0
http://www.3ionlus.org/,051246382,0
http://www.acatbolognaalcool.it/,0514211378,0
http://www.acatbolognaalcool.it/,3491744897,1
http://www.acliemiliaromagna.it,051254612,0
http://www.acquadela.it,051-435610,0
http://www.acquadela.it,051435610,0
http://www.acquadela.it,0516141266,0
http://www.acquadela.it/,051435610,0
http://www.acquadela.it/,0516141266,0
http://www.admoemiliaromagna.it,0594224413,0
http://www.adottando.it/,0513399199,0
http://www.adottando.it/,3335059067,1
http://www.agd-bo.net/it/,051.956818,0
http://www.agd-bo.net/it/,329.2942245,1
http://www.agd-bo.net/it/,333.2213932,1
http://www.agd-bo.net/it/,340.7267581,1
http://www.ageop.org,00390513096,0
http://www.ageop.org,00390513996,0
http://www.ageop.org,051307305,0
http://www.ageop.org,051399621,0
http://www.ageop.org,0514292418,0
http://www.ageop.org,0516494734,0
http://www.aiabologna.it/,051.534863,0
http://www.aiabologna.it/,051.535153,0
http://www.aiasbo.it,051450729,0
http://www.aiasbo.it,051454727,0
http://www.aiasbo.it,051466105,0
http://www.aiasbo.it,0516275357,0
http://www.aiasbo.it/,02376540379,0
http://www.aiasbo.it/,"051 450729",0
http://www.aiasbo.it/,"051 454727",0
http://www.aiasbo.it/,"051 466105",0
http://www.aiasbo.it/,051450729,0
http://www.aiasbo.it/,051454727,0
http://www.aiasbo.it/,051466105,0
http://www.aiasport.it,335-6583608,1
http://www.aiasport.it/,335-6583608,0
http://www.aiccon.it,0543374676,0
http://www.aice-epilessia.it,051514032,0
http://www.aicsbologna.it,051503498,0
http://www.aicsbologna.it/,051503498,0
http://www.aicser.altervista.org,051400337,0
http://www.aiditalia.org,04344650371,0
http://www.aiditalia.org,051199800,0
http://www.aiditalia.org,051242919,0
http://www.aiditalia.org,0516393194,0
http://www.aifo.it/,051434046,0
http://www.aifo.it/,0514393211,0
http://www.aifo.it/,800550303,0
http://www.ailbologna.it,051397483,0
http://www.aism.bo.it,0516330216,0
http://www.aispaitalia.it/,3331661295,1
http://www.aispaitalia.it/,3385884997,1
http://www.aispaitalia.it/,3471719895,1
http://www.al3teste.com/,339.2801026,0
http://www.alcolistianonimi-emiliaromagna.it/,051.224703,0
http://www.alicebologna.it,3483197872,0
http://www.alisei.com/,051.550824,0
http://www.alisei.com/,051.550826,0
http://www.alisei.com/,051.6494555,0
http://www.altercoop.it/,02469810374,0
http://www.altercoop.it/,051532272,0
http://www.altercoop.it/,051538750,0
http://www.altercoop.it/,3288174307,0
http://www.altercoop.it/,3318545681,0
http://www.altercoop.it/,3335853794,0
http://www.altercoop.it/,335354991,0
http://www.altercoop.it/,335415547,0
http://www.altercoop.it/,335495605,0
http://www.altercoop.it/,3355254330,0
http://www.altercoop.it/,3355445558,0
http://www.altercoop.it/,3356200909,0
http://www.altercoop.it/,3356688343,0
http://www.altercoop.it/,3357551621,0
http://www.altercoop.it/,3453013522,0
http://www.altercoop.it/,3473389711,0
