codice,"sito associazione",email
1,http://aimbitalia.it,info@aimbitalia.it
2,http://albertinomussato.org/,info@albertinomussato.org
3,http://associazionevox.com,info@associazionevox.com
4,http://associazionevox.com,info@associazionevox.it
5,http://ciboenonsolo.it/,ortiamo@ciboenonsolo.it
6,http://ciboenonsolo.it/,pratoerbe@ciboenonsolo.it
7,http://ciboenonsolo.it/,m.crippa@ciboenonsolo.it
8,http://ciboenonsolo.it/,v.bartolomei@ciboenonsolo.it
9,http://ciboenonsolo.it/,s.facchin@ciboenonsolo.it
10,http://ciboenonsolo.it/,a.ruggiero@ciboenonsolo.it
11,http://www.art-musica.it,info@art-musica.it
12,http://www.artcityemiliaromagna.com,supportocitta@aptservizi.com
13,http://www.artcityemiliaromagna.com,supportoweb@aptservizi.com
14,http://www.coopi.org,coopi@coopi.org
15,http://www.lafattoriaincitta.org/,lafattoriaincitta@virgilio.it
16,http://comunicazioneinform.it,inform@mclink.it
17,http://www.artmusicevent.eu/,info@artmusicevent.eu
18,http://cucinacongalileo.altervista.org,incucinacongalileo@libero.it
19,http://www.coritoscana.it,info@coritoscana.it
20,http://cultura.regione.emilia-romagna.it,urp@regione.emilia-romagna.it
21,http://cultura.regione.emilia-romagna.it,urp@postacert.regione.emilia-romagna.it
22,http://cultura.regione.emilia-romagna.it,cultura@regione.emilia-romagna.it
23,http://www.provincia.pd.it,urp@provincia.padova.it
24,http://www.provincia.pd.it,web@provincia.padova.it
25,http://www.provincia.pd.it,provincia.padova@cert.ip-veneto.net
26,http://www.provincia.pd.it,presidente@provincia.padova.it
27,http://www.ascomini1885.org/,ascomini@federscherma.it
28,http://www.lamusicainterna.it,info@lamusicainterna.it
29,http://www.provincia.ra.it,urp@mail.provincia.ra.it
30,http://www.provincia.ra.it,provra@cert.provincia.ra.it
31,http://www.corosantospirito.it/,info@corosantospirito.it
32,http://www.corosantospirito.it/,bighi.francesco@gmail.com
33,http://www.laprimaweb.it,redazione@laprimaweb.it
34,http://www.corsincitta.it,info@corsincitta.it
35,http://emiliaromagnaedintorni.it,hysen@libero.it
36,http://emiliaromagnaedintorni.it,hysen@libero.it
37,http://www.provincia.re.it,info@provincia.re.it
38,http://www.asemitalia.org,sede@asemitalia.org
39,http://www.asemitalia.org,welcome@asemworld.ch
40,http://www.asemitalia.org,info@asemcanada.org
41,http://www.asemitalia.org,coord.asem@gmail.com
42,http://www.asemitalia.org,barbara.asem@gmail.org
43,http://www.lasferadanza.it/,festivalsferadanza@gmail.com
44,http://www.lasferadanza.it/,lasferadanza@gmail.com
45,http://www.psicologisenzafrontiere.org,psfitalia@gmail.com
46,http://www.cospe.org,cospe@cospe-fi.it
47,http://www.cospe.org,emiliaromagna@cospe.org
48,http://www.cospe.org,marche@cospe.org
49,http://www.cospe.org,veneto@cospe.org
50,http://www.cospe.org,liguria@cospe.org
51,http://www.cospe.org,cioni@cospe-fi.it
52,http://www.cospe.org,raccoltafondi@cospe-fi.it
53,http://www.cospe.org,amministrazione@cospe-fi.it
54,http://www.ass-columna.org/,columna.associazione@gmail.com
55,http://www.ass-columna.org/,info@ass-columna.org
56,http://www.lav.it/sedi/padova,info@lav.it
57,http://www.cralulss16.it/,mfarinazzo@libero.it
58,http://www.assartepadova.it,assartepadova@libero.it
59,http://www.assbalbinodelnunzio.it/,info@assbalbinodelnunzio.it
60,http://fitel-pmt.it,fitel.piemonte@gmail.com
61,http://www.lescuoledirecitazione.it,info@teatrodigioia.it
62,http://www.lescuoledirecitazione.it,accademiaspettacolo@gmail.com
63,http://www.rcv.veneto.it/,rcv.veneto@pec.csvpadova.org
